ID Age Group,Age Group,ID Age Range,Age Range,ID Year,Year,Number of deaths,Rate Comuna,Rate Region,Rate Country
1,Infancia,1,Menores 7 días,2012,2012,1034.0,4.199353959174514,4.396230706589759,4.240171432495117
1,Infancia,1,Menores 7 días,2013,2013,1014.0,3.7729702870969826,4.2121294826441416,4.175210475921631
1,Infancia,1,Menores 7 días,2014,2014,1045.0,4.6556930803839185,4.425252416919421,4.143635272979736
1,Infancia,2,Menores 28 días,2012,2012,1307.0,5.352509126497831,5.481328064306623,5.359675407409668
1,Infancia,2,Menores 28 días,2013,2013,1253.0,5.070159073165386,5.193104619235662,5.159308433532715
1,Infancia,2,Menores 28 días,2014,2014,1311.0,5.773207562507232,5.470775056436572,5.198379039764404
1,Infancia,3,28 días a 11 meses,2012,2012,505.0,1.9993562029104013,2.063743806643293,2.0708768367767334
1,Infancia,3,28 días a 11 meses,2013,2013,439.0,1.7661811241697025,1.82916610985133,1.8076108694076538
1,Infancia,3,28 días a 11 meses,2014,2014,514.0,2.2260368910828077,2.0404201339435026,2.038113594055176
1,Infancia,4,Menor 1 año,2012,2012,1812.0,7.351865333628792,7.545071845798823,7.430552005767822
1,Infancia,4,Menor 1 año,2013,2013,1692.0,6.836340208963163,7.022270762162401,6.966919422149658
1,Infancia,4,Menor 1 año,2014,2014,1825.0,7.999244451867363,7.511195173153299,7.23649263381958
